Id,Subject Focus,Eyes,Face,Near,Action,Accessory,Group,Collage,Human,Occlusion,Info,Blur,Pawpularity,file_path,bins,fold,preds
0007de18844b0dbbb5e1f607da0606e0,0,1,1,1,0,0,1,0,0,0,0,0,63,../input/petfinder-pawpularity-score/train/0007de18844b0dbbb5e1f607da0606e0.jpg,8,0,29.258667
0013fd999caf9a3efe1352ca1b0d937e,0,1,1,1,0,0,0,0,1,1,0,0,28,../input/petfinder-pawpularity-score/train/0013fd999caf9a3efe1352ca1b0d937e.jpg,3,0,31.435183
001dd4f6fafb890610b1635f967ea081,0,0,1,0,0,0,0,0,0,0,0,1,74,../input/petfinder-pawpularity-score/train/001dd4f6fafb890610b1635f967ea081.jpg,10,0,41.623787
0023b8a3abc93c712edd6120867deb53,0,1,1,1,0,0,0,0,1,1,0,0,22,../input/petfinder-pawpularity-score/train/0023b8a3abc93c712edd6120867deb53.jpg,2,0,20.205795
0042bc5bada6d1cf8951f8f9f0d399fa,0,1,1,1,0,0,0,0,0,0,0,0,53,../input/petfinder-pawpularity-score/train/0042bc5bada6d1cf8951f8f9f0d399fa.jpg,7,0,42.726982
00524dbf2637a80cbc80f70d3ff59616,0,1,1,1,0,0,0,0,0,0,0,0,2,../input/petfinder-pawpularity-score/train/00524dbf2637a80cbc80f70d3ff59616.jpg,0,0,23.777142
00630b1262efe301cb15a3b2022ba744,0,1,1,1,0,0,0,0,0,0,0,0,18,../input/petfinder-pawpularity-score/train/00630b1262efe301cb15a3b2022ba744.jpg,2,0,26.51256
0067aaaa500b530c76b9c91af34b4cb8,0,1,1,1,0,0,0,0,0,0,0,0,98,../input/petfinder-pawpularity-score/train/0067aaaa500b530c76b9c91af34b4cb8.jpg,13,0,59.88629
006cda7fec46a527f9f627f4722a2304,0,0,0,1,0,0,0,0,0,0,0,1,34,../input/petfinder-pawpularity-score/train/006cda7fec46a527f9f627f4722a2304.jpg,4,0,22.386465
006fe962f5f7e2c5f527b2e27e28ed6d,0,1,1,0,0,0,0,1,1,1,0,0,69,../input/petfinder-pawpularity-score/train/006fe962f5f7e2c5f527b2e27e28ed6d.jpg,9,0,34.935307
00768659c1c90409f81dcdecbd270513,0,1,1,0,0,0,0,0,0,0,0,0,100,../input/petfinder-pawpularity-score/train/00768659c1c90409f81dcdecbd270513.jpg,13,0,33.619022
